videoID,channelID,day,views
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,17
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,16
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,18
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,8
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,7
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,14
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,11
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,19
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,15
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,21
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,21
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,20
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,13
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,16
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,20
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,17
_Qa1bPh0lGA,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,16
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,144
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,147
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,101
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,86
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,115
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,86
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,82
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,132
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,116
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,115
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,128
wtg7DiSo2Fs,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,129
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,19
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,18
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,23
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,26
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,24
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,17
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,25
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,24
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,27
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,22
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,16
CYVkfnx6LcY,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,18
